permit_number,issued_date,site_address,sub_type,work_type,contractor,description,valuation
MI303114,2026-05-06,3030 St Albans Mill Rd 302,Commercial/Ind,Remodel/Alteration,REFABED HOME LLC,"Kitchen remodel - Remove existing soffit, column, and half wall under counter in kitchen.",5250
MI303783,2026-05-06,14859 Richards Dr W,Single Family,Maintenance/Repair,Classic Construction Consulting Llc,Reroof,34478
MI303789,2026-05-06,4108 Red Oak Ridge,Single Family,Maintenance/Repair,Lindus Construction,Roof repair 4sq over front door,5000
MI303792,2026-05-06,3512 Laura La,Single Family,Maintenance/Repair,First Impression Exteriors Inc,Reside home with new LP Smartside,50000
MI303793,2026-05-06,2377 Cherrywood Rd,Single Family,Maintenance/Repair,Poundstone Consulting,"17 windows, 1 Door, 3 Patio Doors",204000
MI303797,2026-05-06,14745 Minnetonka Dr,Single Family,Maintenance/Repair,Iron River Construction Llc,reroof due to hail damage,20231
MI303798,2026-05-06,15217 Lake St Extension,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,Remove and replace windows (same size and opening),75000
MI303799,2026-05-06,15217 Lake St Extension,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,remove and replace house and attached garage roof withGAF shingles,20000
MI303800,2026-05-06,5700 Mahoney Ave,Single Family,Maintenance/Repair,Ashco Exteriors Llc,Remove and replace shingles,15000
MI303801,2026-05-06,1901 Essex Rd,Single Family,Maintenance/Repair,BMH ROOFING AND SIDING LLC,1/5 of roof is getting fixed re-rout valley,5500
MI303807,2026-05-06,2504 Cheyenne Cir,Single Family,Maintenance/Repair,Crew 2 Inc,1 front exterior door replacement no alterations to existing openig,1648
MI303808,2026-05-06,16935 Grays Bay Blvd,Single Family,Maintenance/Repair,Personal Pride Construction Ltd,Re-Roof Dwelling & Detached Garage,9000
MI303810,2026-05-06,3035 Lake Shore Blvd,Single Family,Maintenance/Repair,Kuhls Contracting Inc,Re roof house and attached garage,20000
MI303811,2026-05-06,4833 Highbury La,Single Family,Maintenance/Repair,Kuhls Contracting Inc,Re roof house and attached garage,20000
MI303812,2026-05-06,4910 Beacon Hill Rd,Single Family,Maintenance/Repair,Kuhls Contracting Inc,Re roof house attached garage,20000
MI303815,2026-05-06,16219 Temple Way,Single Family,Maintenance/Repair,Intelligent Design Corp,Roof House,27274
MI303816,2026-05-06,4404 Camelot Dr,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,18700
MI303817,2026-05-06,4680 Chantrey Pl,Single Family,Maintenance/Repair,Storm Pro Exteriors Inc,re-roof 54sq asphalt shingles,45000
MI303818,2026-05-06,14930 Glen Oak St,Single Family,Maintenance/Repair,Lindus Construction,Reroof including tear off,36000
MI303819,2026-05-06,4525 Saddlewood Dr,Single Family,Maintenance/Repair,Jax Exteriors Llc,Asphalt reroof,24189
MI303822,2026-05-06,17326 Ridgeview Dr,Single Family,Maintenance/Repair,Lindus Construction,Reroof including tear off,23000
MI303582,2026-05-06,16979 Stodola Rd,Single Family,Remodel/Alteration,PERSONAL PRIDE CONSTRUCTION LTD,"Build new deck on existing footings. PVC decking, aluminum railing.",18000
MI303687,2026-05-06,3523 Green Ridge Rd,Single Family,Remodel/Alteration,DIGIACOMO HOMES & REMODELING,bath remodel,34000
MI303786,2026-05-06,6030 Covington Ter,Townhouse Units,Maintenance/Repair,Midwest Window & Siding Co,Four windows like by like into existing openings.,5000
MI303006,2026-05-05,19000 Stratford Rd,Multi Family Apts/Condos,Remodel/Alteration,GIERTSEN COMPANY,Remove & replace decks on rear of building only,186500
MI303700,2026-05-05,5014 Holiday Rd,Single Family,Maintenance/Repair,Air Pro Llc,Chimney reline with stainless steel flex liner,5500
MI303701,2026-05-05,5014 Holiday Rd,Single Family,Maintenance/Repair,Air Pro Llc,roofline rebuild of exterior chimney. New flashing and full coverage cap.,8500
MI303703,2026-05-05,15666 Woodgate Rd S,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 30 sq asphalt shingles for house,13142
MI303712,2026-05-05,3013 Cedar Crossing,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,reroof,15000
MI303713,2026-05-05,3647 Sunrise Dr E,Single Family,Maintenance/Repair,Gates General Contractors,Re-Roof,13010
MI303715,2026-05-05,4452 Gaywood Dr,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,full reside,12200
MI303721,2026-05-05,4141 Dynasty Dr,Single Family,Maintenance/Repair,Craftsmans Choice Inc,Reroof home and attached garage. We are replacing 1 skylight.,62824
MI303726,2026-05-05,4613 Mounthall Ter,Single Family,Maintenance/Repair,Clear Choice Restoration,reroof,20000
MI303735,2026-05-05,4836 Birchwood La,Single Family,Maintenance/Repair,Medallion Roofing Llc,"Remove existing roof and installation of a new roofing system. Reroofing only, no structural changes",19988
MI303736,2026-05-05,16100 Hidden Valley Rd,Single Family,Maintenance/Repair,Midwest Roofing Siding And Windows Llc,tear off re roof house and attached garage,26037
MI303737,2026-05-05,16100 Hidden Valley Rd,Single Family,Maintenance/Repair,Midwest Roofing Siding And Windows Llc,tear off re side house and attached garage,34042
MI303738,2026-05-05,14810 Woodruff Rd,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 26 sq asphalt shingles for house,9865
MI303740,2026-05-05,3120 Woodlawn Ave,Single Family,Maintenance/Repair,Storm Pro Exteriors Inc,re-roof 28sq asphalt shingles,20500
MI303745,2026-05-05,16009 Hidden Valley Rd,Single Family,Maintenance/Repair,Superior Remodeling Inc.,2 window replacement in existing openings.,7500
MI303747,2026-05-05,5041 Birch Rd,Single Family,Maintenance/Repair,Roof Ninja Services Llc,reroof of 27.17 sq. asphalt,35651
MI303754,2026-05-05,3516 Lowell St,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,7650
MI303758,2026-05-05,4371 Avondale St,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,30175
MI303759,2026-05-05,16547 Grays Bay Blvd,Single Family,Maintenance/Repair,Evergreen Construction Company Inc,Tear Off and Re-roof with Class 3 IR Shingles,10000
MI303760,2026-05-05,5508 Tamarack Cir,Single Family,Maintenance/Repair,Property Claim Solutions Llc,Replacement of 18 full frame windows and 14 sashes,207281
MI303761,2026-05-05,4533 Timber Woods La,Single Family,Maintenance/Repair,Miller Roofs Llc,ReRoof,25000
MI303764,2026-05-05,15014 Belvoir Dr,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,8550
MI303766,2026-05-05,4549 Timber Woods La,Single Family,Maintenance/Repair,Miller Roofs Llc,ReRoof,25000
MI303767,2026-05-05,16523 Hidden Valley Rd,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,9350
MI303768,2026-05-05,4151 Dynasty Dr,Single Family,Maintenance/Repair,Trinity Exteriors Inc,residential roof replacement,18500
MI303770,2026-05-05,15801 Day Pl,Single Family,Maintenance/Repair,Miller Roofs Llc,ReRoof,10000
MI303771,2026-05-05,15615 Highwood Dr,Single Family,Maintenance/Repair,Miller Roofs Llc,ReRoof,8000
MI303772,2026-05-05,15609 Highwood Dr,Single Family,Maintenance/Repair,Miller Roofs Llc,ReRoof,8000
MI303773,2026-05-05,3907 Victoria St,Single Family,Maintenance/Repair,Amrg Llc,Complete tear off and reroof with asphalt shingles (house and garage),22800
MI303774,2026-05-05,3220 Chase Dr,Single Family,Maintenance/Repair,Minnesota Restoration Contractors,20sq full siding replacement - aluminum to steel,24567
MI303777,2026-05-05,16505 Limerick La,Single Family,Maintenance/Repair,GOLDEN ROOFING & REMODELING INC,Tear Off/Reroof for the house and garage,40000
MI303779,2026-05-05,15508 Robinwood Dr,Single Family,Maintenance/Repair,Washek Exteriors Inc,Tear Off and Reshingle Roof on House,20000
MI303666,2026-05-05,16120 Rosemary La,Single Family,Remodel/Alteration,RENUITY OPERATIONS LLC,replacing current shower base with new shower base no walls or plumbing being moved,19658
MI303710,2026-05-05,15699 Sussex Dr,Townhouse Units,Maintenance/Repair,Roof Company N A Inc,,30000
MI303762,2026-05-05,223 Willoughby Way E,Townhouse Units,Maintenance/Repair,Property Claim Solutions Llc,"3 full frame and 10 sash window replacement28,802",
MI303628,2026-05-04,3901 Dartmouth Dr,Single Family,Maintenance/Repair,Sunny Solar Llc,Tear off and re-side,7000
MI303633,2026-05-04,4506 Burr Oak La,Single Family,Maintenance/Repair,Kaufman Sheet Metal & Roof Inc,Installation of GAF Timberline HDZ shingles on House,16635
MI303642,2026-05-04,3513 The Mall,Single Family,Maintenance/Repair,Stinson Services Inc,Remove and replace 25 sq of asphalt roofing,9750
MI303643,2026-05-04,16022 Birch La,Single Family,Maintenance/Repair,Homestead Builders Llc,"Re-roof entire home IKO Dynasty class-3 asphalt shingle, synthetic felt ice & water underlayment.",19144
MI303645,2026-05-04,3611 Sunrise Dr E,Single Family,Maintenance/Repair,Stinson Services Inc,"Remove and replace 30 sq of asphalt roofing25,000",
MI303646,2026-05-04,4125 Tonkawood Rd,Single Family,Maintenance/Repair,Proof Builders Co Llc,"Tear off Cedar Shake, install Armour Shield II asphalt shingles",7750
MI303647,2026-05-04,4408 Camelot Dr,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,14000
MI303648,2026-05-04,14811 Woodruff Rd,Single Family,Maintenance/Repair,Pure Co Roofing Llc,tear off and re roof,8311
MI303650,2026-05-04,15513 Sussex Dr,Single Family,Maintenance/Repair,Abc Exteriors Inc,"replacing 9 windows, same size.",60900
MI303651,2026-05-04,14901 Williston La,Single Family,Maintenance/Repair,Nvm Construction Llc,Remove and replace asphalt shingles,19728
MI303652,2026-05-04,4543 Gaywood Dr,Single Family,Maintenance/Repair,Pure Co Roofing Llc,tear off and re roof,9054
MI303655,2026-05-04,14761 Crestview La,Single Family,Maintenance/Repair,Grand Exteriors Of Minnesota Inc,roof replacement on dwelling,16300
MI303657,2026-05-04,5001 Williston Rd,Single Family,Maintenance/Repair,Nexgen Exteriors Llc,Remove and replace roofing system using GAF HDZ shingles,11500
MI303660,2026-05-04,5634 Glen Moor Rd E,Single Family,Maintenance/Repair,Mav City Restoration Inc,Tear-off and replacement of existing asphalt shingle roof on single-family home due to storm damage.,24364
MI303661,2026-05-04,17002 The Strand,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,15300
MI303663,2026-05-04,18430 Highpath La,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,14025
MI303665,2026-05-04,11901 Bradford Rd,Single Family,Maintenance/Repair,"Prominent Construction, Llc",Tear off and reroof.,13000
MI303670,2026-05-04,16309 Kensington Ct,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,17850
MI303673,2026-05-04,4921 Beacon Hill Rd,Single Family,Maintenance/Repair,Ds Bahr Construction Inc,Re roof home with tear off,21000
MI303675,2026-05-04,15710 Lexington Ave,Single Family,Maintenance/Repair,Richter Remodeling Llc,"Replace siding on west, north, and east side of garage. Continuation of roof brow",7000
MI303676,2026-05-04,3837 Pine La,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,13175
MI303680,2026-05-04,4425 Marlborough Ct,Single Family,Maintenance/Repair,Pudas Construction,Remove and replace asphalt shingles,22000
MI303681,2026-05-04,16001 Hidden Valley Rd,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing roof and install new asphalt shingles,12750
MI303682,2026-05-04,15421 Lake St Extension,Single Family,Maintenance/Repair,C Squared Properties Llc,Tear off and replace asphalt shingles,13076
MI303683,2026-05-04,4393 Avondale St,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,24650
MI303685,2026-05-04,4940 Green Valley Rd,Single Family,Maintenance/Repair,Window Nation Llc,REMOVE/REPLACE 1 WINDOW; EXISTING OPENING,6871
MI303686,2026-05-04,3504 Rainbow Dr,Single Family,Maintenance/Repair,Customer First Contractors Llc,remove and replace shingles on home and garage,6000
